date,NoGate,Gate15,Gate30,SmallCapGate30,HS300Gate
2019-01-02,1.0,1.0,1.0,1.0,1.0
2019-01-03,1.00060692807031,1.00060692807031,1.00060692807031,1.0000979746715009,1.0094802098877942
2019-01-04,1.0228272515441479,1.0228272515441479,1.0228272515441479,1.0226618365932851,1.0350849148432109
2019-01-07,1.0420881546080347,1.0420881546080347,1.0420881546080347,1.0417600312413684,1.0510294740453472
2019-01-08,1.0427959468541284,1.0427959468541284,1.0427959468541284,1.0423966440422914,1.0564555651632515
2019-01-09,1.046477447300338,1.046477447300338,1.046477447300338,1.0456377832330035,1.0625155676500018
2019-01-10,1.0453416182035298,1.0453416182035298,1.0453416182035298,1.04526129559265,1.051606542995992
2019-01-11,1.055275414907051,1.055275414907051,1.055275414907051,1.0552689467902328,1.0578417855253583
2019-01-14,1.0523735436187467,1.0523735436187467,1.0523735436187467,1.0532212102796428,1.0504685621225125
2019-01-15,1.0625679714944487,1.0625679714944487,1.0625679714944487,1.0633594987563337,1.0598792635410808
2019-01-16,1.0617156499606153,1.0617156499606153,1.0617156499606153,1.0633215676168433,1.0571911231314586
2019-01-17,1.0505629843906936,1.0505629843906936,1.0505629843906936,1.0528600040616583,1.049636860239857
2019-01-18,1.0565349589225472,1.0565349589225472,1.0565349589225472,1.058697389879349,1.0603994821453557
2019-01-21,1.0608995883756474,1.0608995883756474,1.0608995883756474,1.0624033573463145,1.0639216563229665
2019-01-22,1.0521872716878877,1.0521872716878877,1.0521872716878877,1.0534037368988787,1.0527421634568201
2019-01-23,1.0526214506981355,1.0526214506981355,1.0526214506981355,1.0540501040309656,1.0518983395076416
2019-01-24,1.0579560698138466,1.0579560698138466,1.0579560698138466,1.059251967934335,1.0580624217147645
2019-01-25,1.0491293406041167,1.0491293406041167,1.0491293406041167,1.0502382528591627,1.0553111286492611
2019-01-28,1.0405820266473889,1.0405820266473889,1.0405820266473889,1.041765516227919,1.0509984964162933
2019-01-29,1.020960039357045,1.020960039357045,1.020960039357045,1.0226684780888111,1.0428055901562108
2019-01-30,1.0081588626978497,1.0081588626978497,1.0081588626978497,1.009385996985897,1.0373029074026692
2019-01-31,0.9893531128994308,0.9893531128994308,0.9893531128994308,0.9902938544826798,1.037010842364747
2019-02-01,1.0126293640645279,1.0126293640645279,1.0126293640645279,1.0138499687135543,1.0578931689690585
2019-02-11,1.0355426233264198,1.0355426233264198,1.0355426233264198,1.036643220315734,1.076662514255643
2019-02-12,1.05084796048565,1.05084796048565,1.05084796048565,1.05204899942935,1.0849127636163889
2019-02-13,1.0666927498396925,1.0666927498396925,1.0666927498396925,1.0677659918017168,1.1066907713177332
2019-02-14,1.0706654861531157,1.0706654861531157,1.0706654861531157,1.0721526300010624,1.109576712557017
2019-02-15,1.072462153124542,1.072462153124542,1.072462153124542,1.0747922184739325,1.0994589531050611
2019-02-18,1.103977193549944,1.103977193549944,1.103977193549944,1.1064155425565416,1.1318426965038269
2019-02-19,1.1054000480900454,1.1054000480900454,1.1054000480900454,1.1078970256412544,1.1326779272919567
2019-02-20,1.1092561698055596,1.1092561698055596,1.1092561698055596,1.111801974811929,1.1300329044558137
2019-02-21,1.1042969984513051,1.1042969984513051,1.1042969984513051,1.106787964387561,1.126468508957217
2019-02-22,1.1205466562853168,1.1205466562853168,1.1205466562853168,1.1225790306819718,1.1446190845146915
2019-02-25,1.1662461369579762,1.1662461369579762,1.1662461369579762,1.16781503432555,1.2032963391770244
2019-02-26,1.1656797574073863,1.1656797574073863,1.1656797574073863,1.1674314831488641,1.2127169543658771
2019-02-27,1.1646435317492343,1.1646435317492343,1.1646435317492343,1.1666876282229193,1.2024171721565085
2019-02-28,1.1766762691823673,1.1766762691823673,1.1766762691823673,1.1786073818260354,1.208336169691628
2019-03-01,1.1824055338748012,1.1824055338748012,1.1824055338748012,1.184569904930542,1.2154350202122521
2019-03-04,1.1965594275945006,1.1965594275945006,1.1965594275945006,1.198411929590612,1.2396221030524257
2019-03-05,1.2203687091009614,1.2203687091009614,1.2203687091009614,1.2231388001433925,1.2549333529127342
2019-03-06,1.248427830579637,1.248427830579637,1.248427830579637,1.2513452267767295,1.2778592578299794
2019-03-07,1.274383679315239,1.274383679315239,1.274383679315239,1.278436625944696,1.2740619757613951
2019-03-08,1.2156843007296336,1.2156843007296336,1.2156843007296336,1.2184623321042958,1.2171926765759764
2019-03-11,1.2649401522622015,1.2649401522622015,1.2649401522622015,1.2679242023314146,1.268521574518718
2019-03-12,1.2833010731090784,1.2833010731090784,1.2833010731090784,1.2860273934884472,1.2848326490378001
2019-03-13,1.2660756421233237,1.2660756421233237,1.2660756421233237,1.2682846929451324,1.2654949352710205
2019-03-14,1.231873504773197,1.231873504773197,1.231873504773197,1.2334998629080876,1.2509592621867263
2019-03-15,1.2596203219799793,1.2596203219799793,1.2596203219799793,1.260928657654393,1.270592596530459
2019-03-18,1.2886577179195733,1.2886577179195733,1.2886577179195733,1.2910355625180094,1.303743824671111
2019-03-19,1.2973291656403108,1.2973291656403108,1.2973291656403108,1.300530980225388,1.313429284497094
2019-03-20,1.305219635558421,1.305219635558421,1.305219635558421,1.3084648505259115,1.3161252605339524
2019-03-21,1.3209935490581293,1.3209935490581293,1.3209935490581293,1.3250626059660813,1.3124336938796535
2019-03-22,1.3339864899134941,1.3339864899134941,1.3339864899134941,1.3382422387148658,1.3118145773147214
2019-03-25,1.33106867741333,1.33106867741333,1.33106867741333,1.3356099100227694,1.2965583003770922
2019-03-26,1.3001616128239817,1.3001616128239817,1.3001616128239817,1.3053105092932689,1.2649760868873354
2019-03-27,1.3121425841683327,1.3121425841683327,1.3121425841683327,1.3166727851803819,1.2734259876377685
2019-03-28,1.2955139962645588,1.2955139962645588,1.2955139962645588,1.2997092329240802,1.2671829797820886
2019-03-29,1.3213585693364238,1.3213585693364238,1.3213585693364238,1.324038449255831,1.3064825099505264
2019-04-01,1.3643431476888375,1.3643431476888375,1.3643431476888375,1.3667344368160086,1.3502528814299184
2019-04-02,1.3753183213653233,1.3753183213653233,1.3753183213653233,1.377600668983302,1.359266916151812
2019-04-03,1.3938153725099873,1.3938153725099873,1.3938153725099873,1.3966593333895208,1.3876180540540755
2019-04-04,1.3995380899553727,1.3995380899553727,1.3995380899553727,1.4027156257096927,1.4052106492003646
2019-04-08,1.398272566678237,1.398272566678237,1.398272566678237,1.4018537949244414,1.397439222889468
2019-04-09,1.4071153299123245,1.4071153299123245,1.4071153299123245,1.4099037157953005,1.4074023301921483
2019-04-10,1.4115578845933865,1.4115578845933865,1.4115578845933865,1.4150677115082806,1.402286402256619
2019-04-11,1.3902590587074604,1.3902590587074604,1.3902590587074604,1.3941185953370236,1.377649793453147
2019-04-12,1.3902570911472951,1.3902570911472951,1.3902570911472951,1.3936778359150614,1.373840592045513
2019-04-15,1.379364386161178,1.379364386161178,1.379364386161178,1.3830799414395794,1.3601963745642736
2019-04-16,1.3967151715773616,1.3967151715773616,1.3967151715773616,1.4009435703931825,1.387055008607147
2019-04-17,1.4118216718731182,1.4118216718731182,1.4118216718731182,1.415933809864341,1.4052129334008743
2019-04-18,1.4031067559674741,1.4031067559674741,1.4031067559674741,1.4072152765838126,1.399108657004726
