universe,config,date,asset,weight
CORE20Y,regime开(MA关),2003-07-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-16,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-17,沪深300,1.0
CORE20Y,regime开(MA关),2003-07-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-23,沪深300,1.0
CORE20Y,regime开(MA关),2003-07-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-30,上证国债指,1.0
CORE20Y,regime开(MA关),2003-07-31,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-04,沪深300,1.0
CORE20Y,regime开(MA关),2003-08-05,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-06,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-07,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-12,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-08-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-01,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-02,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-03,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-04,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-05,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-09,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-12,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-16,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-17,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-23,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-25,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-26,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-09-30,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-08,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-09,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-15,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-16,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-17,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-20,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-21,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-22,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-23,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-24,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-27,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-28,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-29,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-30,上证国债指,1.0
CORE20Y,regime开(MA关),2003-10-31,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-03,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-04,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-05,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-06,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-07,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-10,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-11,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-12,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-13,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-14,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-17,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-18,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-19,上证国债指,1.0
CORE20Y,regime开(MA关),2003-11-20,上证国债指,1.0
