,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
mom_5,-0.08653238089017562,-0.08616504090772127,-0.08134318225472863,-0.11843755687690728,-0.08076545009691119,-0.04991254507338629,-0.06722721222413797,-0.07838710108098465,-0.05657023531330893,-0.06385033617542628,-0.06797341969518766,-0.02045490261897031,-0.022097114625752857,-0.03020306640743459,-0.02226163148198524,-0.012537056434284034,-0.030902065150966808,-0.006402823332559536,-0.020494649640143192,-0.043069222352028015,0.00690989466544716
mom_20,-0.037387241766601916,-0.043288128954892105,-0.0632006281441096,-0.0775487473367376,-0.03704822272946258,-0.027689490142672454,-0.056988656171826226,-0.06556334917276,-0.013881318817884802,-0.08324131406025598,-0.07824268297297013,-0.021400301123673787,-0.02966145359536367,-0.0634136434239621,-0.021401858590805733,-0.014524663819231095,-0.03879440943089614,-0.03275587470026622,-0.03132835747934443,-0.05821390446222446,0.019492626525379374
mom_60,-0.006432390212815238,-0.05682294676263524,-0.03469199392444849,-0.05664459035883902,-0.023213732614980727,-0.031180609523885034,-0.06771517722877035,-0.02707161307261034,-0.029513917992430826,-0.09999719345568786,-0.05815674607296818,0.003443456486673161,-0.020576145756638194,-0.05182381743518731,-0.008992140350047322,-0.05263866478792896,-0.04356357358305982,-0.025602875881230155,-0.047062488061894524,-0.042197437956609025,0.019270739568951003
mom_120,-0.0019256425791884715,-0.059288263569155876,-0.03230508800417981,-0.05886855400383118,0.01727330787232842,-0.03312369949645661,-0.05844291553396198,0.0018991295995823604,-0.013578665700440824,-0.09955764210429789,-0.025954821273194463,0.017563708732725666,-0.002800060529007443,-0.04045539736795139,0.02230972579508732,-0.025056098066135613,-0.05847957765238291,-0.007594238892837364,-0.03915117227067499,-0.03303086916831497,0.03179708980668317
mom_250,,-0.04918558616333502,-0.03417648455610486,-0.06150773750510987,0.011060719757646685,-0.030943343595442655,-0.0063757290388865495,0.02138950584940046,-0.013608197066641134,-0.08277938282619625,-0.020064785564732224,0.019455465077657448,-0.008023100804824247,-0.022312356256225834,0.016224699575980654,-0.022608907268664078,-0.008453217718899815,-0.01604090584922719,-0.014341854965630445,-0.014150945775113988,0.04288602432688175
mom_12_1,,-0.033492964818476474,-0.012592479561906223,-0.0373158395650074,0.023259872627056633,-0.01976981158240833,0.014681844626672987,0.03987240857572994,-0.009783715122303607,-0.04503755741318584,-0.0009788777241460736,0.026669887245816155,0.0029120404146582924,-0.0009130086883576325,0.02645823081200992,-0.015281122546796318,0.006207812154547503,-0.005890079021955991,0.0013862767093926998,0.0018898979825931158,0.04025331168545432
rev_5,0.08653238089017562,0.08616504090772127,0.08134318225472863,0.11843755687690728,0.08076545009691119,0.04991254507338629,0.06722721222413797,0.07838710108098465,0.05657023531330893,0.06385033617542628,0.06797341969518766,0.02045490261897031,0.022097114625752857,0.03020306640743459,0.02226163148198524,0.012537056434284034,0.030902065150966808,0.006402823332559536,0.020494649640143192,0.043069222352028015,-0.00690989466544716
rev_20,0.037387241766601916,0.043288128954892105,0.0632006281441096,0.0775487473367376,0.03704822272946258,0.027689490142672454,0.056988656171826226,0.06556334917276,0.013881318817884802,0.08324131406025598,0.07824268297297013,0.021400301123673787,0.02966145359536367,0.0634136434239621,0.021401858590805733,0.014524663819231095,0.03879440943089614,0.03275587470026622,0.03132835747934443,0.05821390446222446,-0.019492626525379374
rev_60,0.006432390212815238,0.05682294676263524,0.03469199392444849,0.05664459035883902,0.023213732614980727,0.031180609523885034,0.06771517722877035,0.02707161307261034,0.029513917992430826,0.09999719345568786,0.05815674607296818,-0.003443456486673161,0.020576145756638194,0.05182381743518731,0.008992140350047322,0.05263866478792896,0.04356357358305982,0.025602875881230155,0.047062488061894524,0.042197437956609025,-0.019270739568951003
rev_intraday,0.0337192384008163,0.022556085430636547,0.01716958438437242,0.05581382572228435,0.035725340740071825,0.017264502225256516,0.025114505413524522,0.029882155418644137,0.03936787166819482,0.03871210796259078,0.027812125696587687,0.025650885898478273,0.025478163040722736,0.02817071356795656,0.009782991319876304,0.012190365925852844,0.027770996875842512,0.01326899480146641,-0.007573607878425819,0.027685345203992646,0.0017960310753153412
